timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610452172293,667,HTTP Request,200,OK,Google pokemon 1-1,text,true,,192798,268,2,2,https://pokeapi.co/api/v2/pokemon/pikachu,193,0,109
1610452172293,193,HTTP Request-0,301,Moved Permanently,Google pokemon 1-1,,true,,615,134,2,2,http://pokeapi.co/api/v2/pokemon/pikachu,193,0,109
1610452172487,473,HTTP Request-1,200,OK,Google pokemon 1-1,text,true,,192183,134,2,2,https://pokeapi.co/api/v2/pokemon/pikachu,277,0,184
1610452172795,663,HTTP Request,200,OK,Google pokemon 1-2,text,true,,192794,268,3,3,https://pokeapi.co/api/v2/pokemon/pikachu,171,0,80
1610452172795,171,HTTP Request-0,301,Moved Permanently,Google pokemon 1-2,,true,,615,134,3,3,http://pokeapi.co/api/v2/pokemon/pikachu,171,0,80
1610452172967,491,HTTP Request-1,200,OK,Google pokemon 1-2,text,true,,192179,134,3,3,https://pokeapi.co/api/v2/pokemon/pikachu,285,0,166
1610452173294,1033,HTTP Request,200,OK,Google pokemon 1-3,text,true,,192802,268,4,4,https://pokeapi.co/api/v2/pokemon/pikachu,303,0,84
1610452173294,303,HTTP Request-0,301,Moved Permanently,Google pokemon 1-3,,true,,619,134,4,4,http://pokeapi.co/api/v2/pokemon/pikachu,303,0,84
1610452173598,729,HTTP Request-1,200,OK,Google pokemon 1-3,text,true,,192183,134,4,4,https://pokeapi.co/api/v2/pokemon/pikachu,327,0,211
1610452173791,2225,HTTP Request,200,OK,Google pokemon 1-4,text,true,,192802,268,5,5,https://pokeapi.co/api/v2/pokemon/pikachu,157,0,72
1610452173791,157,HTTP Request-0,301,Moved Permanently,Google pokemon 1-4,,true,,619,134,5,5,http://pokeapi.co/api/v2/pokemon/pikachu,157,0,72
1610452173948,2068,HTTP Request-1,200,OK,Google pokemon 1-4,text,true,,192183,134,5,5,https://pokeapi.co/api/v2/pokemon/pikachu,1608,0,308
1610452174291,2476,HTTP Request,200,OK,Google pokemon 1-5,text,true,,192794,268,6,6,https://pokeapi.co/api/v2/pokemon/pikachu,1306,0,71
1610452174291,1306,HTTP Request-0,301,Moved Permanently,Google pokemon 1-5,,true,,617,134,6,6,http://pokeapi.co/api/v2/pokemon/pikachu,1306,0,71
1610452175597,1170,HTTP Request-1,200,OK,Google pokemon 1-5,text,true,,192177,134,6,6,https://pokeapi.co/api/v2/pokemon/pikachu,484,0,345
1610452175292,2023,HTTP Request,200,OK,Google pokemon 1-7,text,true,,192796,268,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,438,0,169
1610452175292,438,HTTP Request-0,301,Moved Permanently,Google pokemon 1-7,,true,,617,134,7,7,http://pokeapi.co/api/v2/pokemon/pikachu,438,0,169
1610452175730,1585,HTTP Request-1,200,OK,Google pokemon 1-7,text,true,,192179,134,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,497,0,337
1610452174792,2693,HTTP Request,200,OK,Google pokemon 1-6,text,true,,192796,268,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,1350,0,1183
1610452174792,1350,HTTP Request-0,301,Moved Permanently,Google pokemon 1-6,,true,,615,134,7,7,http://pokeapi.co/api/v2/pokemon/pikachu,1350,0,1183
1610452176143,1342,HTTP Request-1,200,OK,Google pokemon 1-6,text,true,,192181,134,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,642,0,423
1610452175793,1715,HTTP Request,200,OK,Google pokemon 1-8,text,true,,192808,268,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,341,0,178
1610452175793,341,HTTP Request-0,301,Moved Permanently,Google pokemon 1-8,,true,,625,134,7,7,http://pokeapi.co/api/v2/pokemon/pikachu,341,0,178
1610452176135,1373,HTTP Request-1,200,OK,Google pokemon 1-8,text,true,,192183,134,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,614,0,410
1610452176791,2022,HTTP Request,200,OK,Google pokemon 1-10,text,true,,192800,268,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,406,0,203
1610452176791,406,HTTP Request-0,301,Moved Permanently,Google pokemon 1-10,,true,,619,134,7,7,http://pokeapi.co/api/v2/pokemon/pikachu,406,0,203
1610452177198,1615,HTTP Request-1,200,OK,Google pokemon 1-10,text,true,,192181,134,7,7,https://pokeapi.co/api/v2/pokemon/pikachu,460,0,323
1610452176292,3490,HTTP Request,200,OK,Google pokemon 1-9,text,true,,192796,268,5,5,https://pokeapi.co/api/v2/pokemon/pikachu,1302,0,1181
1610452176292,1302,HTTP Request-0,301,Moved Permanently,Google pokemon 1-9,,true,,617,134,5,5,http://pokeapi.co/api/v2/pokemon/pikachu,1302,0,1181
1610452177595,2187,HTTP Request-1,200,OK,Google pokemon 1-9,text,true,,192179,134,5,5,https://pokeapi.co/api/v2/pokemon/pikachu,1173,0,670
